"Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"13mill viewers almost the whole ace family was waiting for steel","Kearra","https://yt3.ggpht.com/ytc/AAUvwngX_yvITK8OhqXKqi50wCbN0uIcr5szzfw6BDmAQQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCciaF-FqVUXmvt5daZpTx1A","UCciaF-FqVUXmvt5daZpTx1A","0","0","2020-09-04T02:23:16Z","2020-09-04T02:23:16Z","UgweEXmVk8t17Osr1Fl4AaABAg",NA,"tJvCygyNH4I"
"Everyone is so mad at Austin for not comforting Catherine, but like no one would be watching this video if he didn’t film it or if he didn’t film it nicely... there is no point in watching the video soooooooo...","Pastel PandaYT","https://yt3.ggpht.com/ytc/AAUvwniNgAPvsgURl_eVtJKDgnsFGsQ8ZNI2U_LdOmMuKg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCl4tMeeXhZdmmQMLYzHuCeA","UCl4tMeeXhZdmmQMLYzHuCeA","0","4","2020-09-03T22:37:30Z","2020-09-03T22:37:57Z","Ugzu2UTUvVYxJ16y4ER4AaABAg",NA,"tJvCygyNH4I"
"Like serious this guy though 🤔🤔🤔🤔🤔","Jackyline Nyareru","https://yt3.ggpht.com/ytc/AAUvwnh7qGC3xIoRnJtRVCdFkqlWtYa25uM0vS84dw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCrZhf1b9_BzU1oU7yOC2EOQ","UCrZhf1b9_BzU1oU7yOC2EOQ","0","0","2020-09-03T21:25:59Z","2020-09-03T21:25:59Z","UgzIfo4iXWpHHam2T_N4AaABAg",NA,"tJvCygyNH4I"
"Congratulations am so happy for .","Queen Eliza","https://yt3.ggpht.com/ytc/AAUvwnhXrm0Coz1DPT2pQMIQdkEF9tJf7bWk_xtHlA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCuDI1k8jNXSyr4qEUc5WVvw","UCuDI1k8jNXSyr4qEUc5WVvw","0","0","2020-09-03T16:41:49Z","2020-09-03T16:41:49Z","Ugydcvr9YD1sm7Zrs3N4AaABAg",NA,"tJvCygyNH4I"
"Поздравляю)!!!","Лисин Андрей","https://yt3.ggpht.com/ytc/AAUvwngtZfY0eCB8fIOyMfM7zM2nTYaGHwsIKD9_KA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC70E3Woh4f0TGjAwQ93Bz_g","UC70E3Woh4f0TGjAwQ93Bz_g","0","0","2020-09-03T05:27:57Z","2020-09-03T05:27:57Z","UgxUReBxr-x1Gf1qEr54AaABAg",NA,"tJvCygyNH4I"
"Why was steel so bloody I like never seen this bc like ima kid.","Yellow Sunshine","https://yt3.ggpht.com/ytc/AAUvwngdbpuXQBv2YFfFC2_vxaQpmoV3_Vca5dK9JcxS=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCC4rfR48qCIzkAQNT1lPVRw","UCC4rfR48qCIzkAQNT1lPVRw","0","0","2020-09-03T00:14:25Z","2020-09-03T00:14:25Z","Ugxe_JIQ3fkqaYU-Ohx4AaABAg",NA,"tJvCygyNH4I"
"It really bothers me that the baby’s shake so much much. I don’t why is it aposed  to.","Yellow Sunshine","https://yt3.ggpht.com/ytc/AAUvwngdbpuXQBv2YFfFC2_vxaQpmoV3_Vca5dK9JcxS=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCC4rfR48qCIzkAQNT1lPVRw","UCC4rfR48qCIzkAQNT1lPVRw","1","0","2020-09-03T00:13:16Z","2020-09-03T00:13:16Z","Ugyna6PPx9fxzxCeGfN4AaABAg",NA,"tJvCygyNH4I"
"Congratulations Catherine, Austin, Elle and Alaia","Hitesh Kabawala","https://yt3.ggpht.com/ytc/AAUvwnh26QQ_rdhIeOgp94KWOUz3S1JRJXTNS6lTVg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCzL8i0aZSRRzMPPdVztaQqA","UCzL8i0aZSRRzMPPdVztaQqA","0","0","2020-09-02T13:37:43Z","2020-09-02T13:37:43Z","UgxkpXcGXr888DS2QER4AaABAg",NA,"tJvCygyNH4I"
"Get your ass down there and hold her hand","Lola Dawson","https://yt3.ggpht.com/ytc/AAUvwnjYQMSH2viOK52SwmbODR92AbEM3If8-GP24xWy=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCSSIu3rAPTEyPYQJmwpyJdQ","UCSSIu3rAPTEyPYQJmwpyJdQ","0","0","2020-09-02T02:38:13Z","2020-09-02T02:38:13Z","Ugw3NhNwORy4DpPwREN4AaABAg",NA,"tJvCygyNH4I"
"I couldn’t watch it. He was looking at hisself the whole time. I couldn’t even see the labor or the delivery 😔","33cheekz","https://yt3.ggpht.com/ytc/AAUvwnjMaEVz7J8PMgx99sbNz2AMF3bkU18ab3AHmQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCDwnz6Uw9WMOHiDxKZNnDVw","UCDwnz6Uw9WMOHiDxKZNnDVw","1","0","2020-09-01T07:17:26Z","2020-09-01T07:17:26Z","Ugz6iuu1HHkoor6cKU94AaABAg",NA,"tJvCygyNH4I"
"The baby is cute","Sonia Mariee","https://yt3.ggpht.com/ytc/AAUvwngZEe_9jvu8jWUVSqGlWogpm99tP_8oTaXaAw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC9dhrStZbM4UUKNDMAdTRZw","UC9dhrStZbM4UUKNDMAdTRZw","0","0","2020-08-31T19:40:12Z","2020-08-31T19:40:12Z","Ugzex2sDs4I9h2MyQfx4AaABAg",NA,"tJvCygyNH4I"
"I love you sososos much ❤🥰🐥💫😭💄😍🐥🐥🐥🐥🐥😘😗🤑👫💛🙏❤❤❤❤❤❤💜💜💜💜💜💜💜💜💜💜💜💜💜💜❤ elle i love you sososos much","Anahyy Hlavacekkk","https://yt3.ggpht.com/ytc/AAUvwnjP9vyp9oXpYmhHP7vKHpgRzQ5cV4GH0FzPBw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQ8gAMNHo38UeR2HxOApS5A","UCQ8gAMNHo38UeR2HxOApS5A","0","0","2020-08-31T18:33:07Z","2020-08-31T18:33:07Z","Ugzei_Hs5cnF7ZV8LPd4AaABAg",NA,"tJvCygyNH4I"
"Did she took injuction for pain or not??","kadi bell","https://yt3.ggpht.com/ytc/AAUvwng0eQhIlPoyBurUXJXhyxRggkf4qRd7vQptuQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC7iHtNLWbDbxpPhA76LjbPA","UC7iHtNLWbDbxpPhA76LjbPA","0","0","2020-08-31T15:33:48Z","2020-08-31T15:33:48Z","UgydWakr10OWEjq1MaN4AaABAg",NA,"tJvCygyNH4I"
"This is sweet😍😍😍😍😍😘","Benjamin Hall","https://yt3.ggpht.com/ytc/AAUvwnj3nPZ2tfUKj4DcfU0zKGMuBMSsui8LnIKiOX80Kw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCGsHdmJ1-gNapv3A7KJwLRg","UCGsHdmJ1-gNapv3A7KJwLRg","0","0","2020-08-31T07:06:27Z","2020-08-31T07:06:27Z","UgycVQ6Ui8zVOKtILFt4AaABAg",NA,"tJvCygyNH4I"
"Austin there's nothing you can do to help your wife","The Manneh Family","https://yt3.ggpht.com/ytc/AAUvwnj6GtLGKXPU1PliLxAIF0Tfk2jSqqaHgakwoA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCmpzhPl2rSBy0357qnbm-gA","UCmpzhPl2rSBy0357qnbm-gA","0","0","2020-08-31T06:30:12Z","2020-08-31T06:30:12Z","UgzjhnYx_Ak6i_88sjR4AaABAg",NA,"tJvCygyNH4I"
"Priceless!😍","marilyn thomas","https://yt3.ggpht.com/ytc/AAUvwngb8pbPtqMdiI05SOJTodnhVtY6CMtPA8lhcdrO9SI=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCaVEZ9gK0BYYcpfdijBKjww","UCaVEZ9gK0BYYcpfdijBKjww","0","0","2020-08-31T01:45:23Z","2020-08-31T01:45:23Z","Ugxr9v3cn5jMRk9kUpd4AaABAg",NA,"tJvCygyNH4I"
"Okay so- imma say this in the most respectful way I can. You’re wife is literally delivering a baby and your to worried about looking at the damn camera! You didn’t hold her hand comfort her or ANYTHING. She is pushing a human out of her and your looking at a DAMN CAMERA! What the hell austin?!? That poor child is gonna look back at this to see his dad staring into a CAMERA whilst he’s being pushed out. I honestly feel so bad for him. 🤦🏾‍♀️","Electric Editz VSP","https://yt3.ggpht.com/ytc/AAUvwnipW67PPAlOPzVSrBL-m7WJ_bHj847KfEZuotHj=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_zzCQTabrhc-By9WPCCkIg","UC_zzCQTabrhc-By9WPCCkIg","0","2","2020-08-31T01:28:35Z","2020-08-31T01:29:10Z","Ugz3FQrdyYa6-ntUU8B4AaABAg",NA,"tJvCygyNH4I"
"Amazing !!!! I’m like in tears !","Cc Cc","https://yt3.ggpht.com/ytc/AAUvwnhr1LcCIyecNdaKQWTvtojLxbAldj0va4lbjA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCkQx6LVB0xyW9vt4njVg6pA","UCkQx6LVB0xyW9vt4njVg6pA","0","0","2020-08-30T13:06:44Z","2020-08-30T13:06:44Z","UgyDZwymGi2gq1pYUOF4AaABAg",NA,"tJvCygyNH4I"
"Oi 👁💧👄💧👁","Sok Reachthyna","https://yt3.ggpht.com/ytc/AAUvwnh4ry31PPeHw4dhfEjAWxnhYq3AxCtxdqoL_Vi3lw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC4gkT5AmYiOTT2_t-dGaayg","UC4gkT5AmYiOTT2_t-dGaayg","0","0","2020-08-30T05:19:22Z","2020-08-30T05:19:22Z","UgzA2l6N6NxRB8X4IOV4AaABAg",NA,"tJvCygyNH4I"
"КАКИЕ ВЫ МОЛОДЦЫ, ОБОЖАЮ🙋🏼‍♀️❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤","MaRiNa MiA ВЛОГИ ДАГ СЕМЬИ","https://yt3.ggpht.com/ytc/AAUvwnj5jRzq6uEAhr-T8aDmkKwk8ZJUnnUX4HKIzjhZgC4=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC5MsWRRLRn5ZxcDPkKgt1Sw","UC5MsWRRLRn5ZxcDPkKgt1Sw","0","0","2020-08-29T22:26:45Z","2020-08-29T22:26:45Z","UgxAcyVjUu36ikXKgb94AaABAg",NA,"tJvCygyNH4I"
"You got any pain relief??? if yes please mention
 thank you","Salma Jahangir","https://yt3.ggpht.com/ytc/AAUvwnifqOhErPk_U2nUUfqddFKOONIulIfOEbkSkg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCzG4X0tGFVqgScDCX29QB5Q","UCzG4X0tGFVqgScDCX29QB5Q","0","0","2020-08-29T17:00:59Z","2020-08-29T17:00:59Z","UgxO90LXEndISJsvVmB4AaABAg",NA,"tJvCygyNH4I"
"I smiled when Catherine got some blood on her chin and was thinking ‘opp you got somethin’ on there’","Lia Potts","https://yt3.ggpht.com/ytc/AAUvwniH0wldAlfyhS69ajOWQcQHqJQnraIQ04Bwog=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCFMMiMpxYOVOKsQDl4KlgZg","UCFMMiMpxYOVOKsQDl4KlgZg","0","0","2020-08-29T06:10:47Z","2020-08-29T06:10:47Z","UgxNXWO2uZ6ZqA7JdwB4AaABAg",NA,"tJvCygyNH4I"
"Who puts on makeup when giving birth yall kidding right yall probabaly gonna use this baby for views to thats a damn shame","DTA Arts","https://yt3.ggpht.com/ytc/AAUvwngRyFJGY5idDonaF2py2k-jmarWUlCEVDGZyyBqhw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCAZqcu9WQCoc4LB5lZ0IKmg","UCAZqcu9WQCoc4LB5lZ0IKmg","8","3","2020-08-28T05:30:06Z","2020-08-28T05:30:06Z","UgxdyEsPFS1QT3MyuCp4AaABAg",NA,"tJvCygyNH4I"
"You'll see the best I say so anyone else said no they are wrong when I am say you'll make me happy every time I am sick by the time I see you'll I get better love youll","Dominique Felix","https://yt3.ggpht.com/ytc/AAUvwnh7pfnOLOy7qhnKceyLoJN7d178awbVIpoBgciiEZA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCmEvulQhCREVEuyig0b7m6g","UCmEvulQhCREVEuyig0b7m6g","0","0","2020-08-27T23:47:50Z","2020-08-27T23:47:50Z","Ugypr1NQDchUYN7_hvd4AaABAg",NA,"tJvCygyNH4I"
"What the hell how many kids they gonna have","-________-","https://yt3.ggpht.com/ytc/AAUvwng-zxLyIqu2kMswRzzmGArx8kKRTROLaxpoWrC1Iw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCSpz9psR8P6lKLMDkMx9VwA","UCSpz9psR8P6lKLMDkMx9VwA","0","0","2020-08-27T21:17:57Z","2020-08-27T21:17:57Z","Ugw4tmOp4mCLltSLMex4AaABAg",NA,"tJvCygyNH4I"
"Hi, I usually don’t do this but I stay in lake Charles and my family was recently hit by the hurricane. It completely damaged the front/outside of our house because it was so old and I guess it wasn’t strong enough, luckily none of us got hurt. We’re left without shelter and food ,Our neighbors were kind enough to let us stay with them until it is over. With that being said our family has nothing I have 2 little girls (3 and 5) and my grandma staying with my husband and I. I don’t care if I go days with out eating as long as I have my daughters feed and taking care of if anybody is a mother they would understand I just want my girls to be okay. If anyone could please donate anything to us it would mean the world to me and my family ,it could literally be a 1 penny we would appreciate ANY amount sent to us ..I just don’t know what we’re going to do once this storm blows over. Even if you can’t donate please pray for us. I don’t feel right begging for money but this is literally the only option I have. Gracias y Dios te bendiga💙🙏🏻I thank everyone cashapp-$dreasantos318","Leian Massa","https://yt3.ggpht.com/ytc/AAUvwnjHmFrDw0v0NhV_WQoT67D0sfUUQg4L-oJGHA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUfe8-LS5Wow624KSbkQ4Ag","UCUfe8-LS5Wow624KSbkQ4Ag","0","0","2020-08-27T13:36:55Z","2020-08-27T13:36:55Z","UgxlT26D1crlQ5MaIAZ4AaABAg",NA,"tJvCygyNH4I"
"The baby is so cute and adorable","Tullia Cliantha Machruzal","https://yt3.ggpht.com/ytc/AAUvwnhmEsvAtzwmX-oOjWwYazz9Fjkp4hG3bwWoCtHPaQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCtVelxt9Fxmy_H7CBBJX5pg","UCtVelxt9Fxmy_H7CBBJX5pg","0","0","2020-08-27T02:52:31Z","2020-08-27T02:52:31Z","UgzP94JgWepg8DE8sAh4AaABAg",NA,"tJvCygyNH4I"
"What is the song playing in the very beginning","rahul shresthas","https://yt3.ggpht.com/ytc/AAUvwniXsRPvzfUZuyWconV8vJI4uAa1JHzpU8DZKA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCvQidqbum0soyxDkFNl8xug","UCvQidqbum0soyxDkFNl8xug","0","1","2020-08-26T15:33:26Z","2020-08-26T15:33:26Z","UgwkwmOo8nWgNxLklbl4AaABAg",NA,"tJvCygyNH4I"
