"Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"i keep missing days of the workouts because if i do it when my mums home she laughs at me :))","Kellin Ward","https://yt3.ggpht.com/ytc/AAUvwnhxHYUPFeFmf-yyRPsASlOqZP7Bnl_SWK3ubQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCCM8VIwMmnPX-RyUJ8x4SFQ","UCCM8VIwMmnPX-RyUJ8x4SFQ","0","0","2020-09-25T10:53:22Z","2020-09-25T10:53:22Z","UgxXOLd8d1OEERrjVBl4AaABAg",NA,"-p0PA9Zt8zk"
"Wow! Anyone else sweating on their first attempt?! 😓","Maggie Arbor","https://yt3.ggpht.com/ytc/AAUvwniiTJLS9RVJcn3aCowHDLQSXR12J2JSkYsqDU5E=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCBnbCQda1HGpAoJnEhJP4VQ","UCBnbCQda1HGpAoJnEhJP4VQ","0","0","2020-09-25T10:25:32Z","2020-09-25T10:25:32Z","UgwQCJVqkGS2czjjX3p4AaABAg",NA,"-p0PA9Zt8zk"
"So..

Came from Online PE class I see??","Gabbie 19","https://yt3.ggpht.com/ytc/AAUvwngUrRn1oQvQpCMG9awpNwjUqcUr5ClTZQSf6NMW=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCOy15srqg88oXgQGD7p5KUQ","UCOy15srqg88oXgQGD7p5KUQ","0","0","2020-09-25T09:57:01Z","2020-09-25T09:57:01Z","UgzdaQJV4c6SNtuE8Nl4AaABAg",NA,"-p0PA9Zt8zk"
"Am I only the first one who likes my comment after led it into public comment","Huda Kamran","https://yt3.ggpht.com/ytc/AAUvwngEdvlIsQ_PCHOmURYCBxJqOyGIpcd_8dhe4Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCcsvouyFnr_OLqESNwFBYHA","UCcsvouyFnr_OLqESNwFBYHA","0","2","2020-09-25T06:11:29Z","2020-09-25T06:11:29Z","UgyGtlwBFoFcvjgfjTh4AaABAg",NA,"-p0PA9Zt8zk"
"WHAT!","HAO NGUYEN","https://yt3.ggpht.com/ytc/AAUvwngB-yk-3CxiuM6mxLvxht5u8lrPAHHct3CYwbXSBg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC-PhrR-GU4BQbQZza8yRLzA","UC-PhrR-GU4BQbQZza8yRLzA","0","0","2020-09-25T04:57:06Z","2020-09-25T04:57:06Z","UgzPGdromzzLg1UGzHN4AaABAg",NA,"-p0PA9Zt8zk"
"Who else is here after completing the 2019 2 week shred challenge?","days with ev","https://yt3.ggpht.com/ytc/AAUvwnjd8wn_YP2IwoM7dkhOzUiz3tlP_v0GNohDDhP0=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUhjWrsKGQYlkWJQKME9s3Q","UCUhjWrsKGQYlkWJQKME9s3Q","1","6","2020-09-24T20:50:34Z","2020-09-24T20:50:51Z","UgyZJclBMEGLKBBZ5xh4AaABAg",NA,"-p0PA9Zt8zk"
"i am here sitting in my workout clothes, reading all the comments and liking them.....


OK i am going to start now! 
btw its my third day.","sakkthi sundaram","https://yt3.ggpht.com/ytc/AAUvwnhFunYqe-t1nwUmtGBjD9gf08Okdi7sCJ0g4eHX6ko=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCCUu8c8d0scpF2qq2M4gbTQ","UCCUu8c8d0scpF2qq2M4gbTQ","1","1","2020-09-24T14:08:45Z","2020-09-24T14:08:45Z","Ugz8Y0zDF4Kuj-5T1Sx4AaABAg",NA,"-p0PA9Zt8zk"
"its a warm up but im already getting sweat and tired","DirtyArmy -","https://yt3.ggpht.com/ytc/AAUvwnigdUuApNa0rdamR_Wh1MEaOoc12LFu7TzjKM6s=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6ftGpSSSbQLCKdquM8ceSw","UC6ftGpSSSbQLCKdquM8ceSw","0","0","2020-09-24T10:29:58Z","2020-09-24T10:29:58Z","UgyTRPlrS3ztc5qix8R4AaABAg",NA,"-p0PA9Zt8zk"
"Really ting? Is this warm up???  😭😭😭🤣🤣","yumyum_","https://yt3.ggpht.com/ytc/AAUvwnhz8IDCyuJdmcdpSfkxKkMcYjGFTErKiT3cKA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC4lalvvm6MoTns5Oy8bOHig","UC4lalvvm6MoTns5Oy8bOHig","0","0","2020-09-24T02:57:50Z","2020-09-24T02:57:50Z","UgxSBrRCpejlB0gfE1Z4AaABAg",NA,"-p0PA9Zt8zk"
"DAY 2 OF THE 2 WEEK ROUTINE AND IM SORE AF!!! PRAY FOR ME AND MY FRIEND WE R DOING IT TOGETHER","أمأل","https://yt3.ggpht.com/ytc/AAUvwnh78usAErQxYbC2kfFLcvPgCa56-5Hxr6dNFm-J9Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCl7IC_XgSf22fgj36eOzdhA","UCl7IC_XgSf22fgj36eOzdhA","0","0","2020-09-23T19:34:29Z","2020-09-23T19:34:29Z","UgznFPUN-RjRnL3Y-NF4AaABAg",NA,"-p0PA9Zt8zk"
"What song is this?","Amber Juan","https://yt3.ggpht.com/ytc/AAUvwnjr2nYM1L4y154fDXrYP4Ed_78RG-fhVWArz1Bw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCZHqRHzipYtNBMkxoiKqTXA","UCZHqRHzipYtNBMkxoiKqTXA","0","0","2020-09-23T14:30:15Z","2020-09-23T14:30:15Z","UgzdNbjLCmNDbAqShid4AaABAg",NA,"-p0PA9Zt8zk"
"Day 10 🌸","funworldelli","https://yt3.ggpht.com/ytc/AAUvwnhVxBK0Gxe9A3naXoZ22e30Y_9Tym0Ctbhz8w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCd_mSTcuz1IcxBctAx_8H6g","UCd_mSTcuz1IcxBctAx_8H6g","0","0","2020-09-23T12:45:12Z","2020-09-23T12:45:12Z","UgydeL4WzJtr8ZRlVIt4AaABAg",NA,"-p0PA9Zt8zk"
"This warm up  was a freaking workout! lmaooo I will have to do this daily until I can go further.  But I won't give up.  Glad I found this channel. <3 I have been looking and looking for a good workout channel and I am going to stick with this one. :D","Misha","https://yt3.ggpht.com/ytc/AAUvwnj6MXH1IoAfyja4zzCNgcsaqZOn5CU2YVblnNJVCQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCv8zA8vnaWgzvQALM5qqOsQ","UCv8zA8vnaWgzvQALM5qqOsQ","0","0","2020-09-22T19:36:10Z","2020-09-22T19:36:10Z","UgyOO2ohJcNMZfpO6Nh4AaABAg",NA,"-p0PA9Zt8zk"
"[22.09.2020] Day 1","Julia CB","https://yt3.ggpht.com/ytc/AAUvwnhaFBTr4DV5fNITNg_XNqsiHXx1LWkXnL2m-NxX6A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCfSX4rDf8RWsWbiVvl6RegQ","UCfSX4rDf8RWsWbiVvl6RegQ","1","1","2020-09-22T16:36:46Z","2020-09-22T16:36:46Z","UgzSf-A-hwJnHpbWU3V4AaABAg",NA,"-p0PA9Zt8zk"
"Thank you Chloe 💜","Renda Elias","https://yt3.ggpht.com/ytc/AAUvwniip1Ttw_L3RQ5wNnS2e1ovBiRaXYfzJ4Ye7B94BQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC3hmE3_tid_yz89DwjwTQYw","UC3hmE3_tid_yz89DwjwTQYw","0","0","2020-09-22T14:38:13Z","2020-09-22T14:38:13Z","Ugw6n9y-v9P8fN22XLh4AaABAg",NA,"-p0PA9Zt8zk"
"Day 9 💗","funworldelli","https://yt3.ggpht.com/ytc/AAUvwnhVxBK0Gxe9A3naXoZ22e30Y_9Tym0Ctbhz8w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCd_mSTcuz1IcxBctAx_8H6g","UCd_mSTcuz1IcxBctAx_8H6g","0","0","2020-09-22T13:03:58Z","2020-09-22T13:03:58Z","UgxyTWVht7Qhi5l6Y_h4AaABAg",NA,"-p0PA9Zt8zk"
"I love the music heheheh","Brigitta Kinara","https://yt3.ggpht.com/ytc/AAUvwnhWMxq3tscrvxzngZJug62bgHXKryW6lWpO7jOU-Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCGdkrAobaIw1wOuthcWOOqw","UCGdkrAobaIw1wOuthcWOOqw","0","0","2020-09-22T12:38:00Z","2020-09-22T12:38:00Z","UgxstJBuyVxccD_cs3p4AaABAg",NA,"-p0PA9Zt8zk"
"Just found your channel and I’m loving it💪🏽 thank you SO much 😘","• •• Elani ••","https://yt3.ggpht.com/ytc/AAUvwngcGzMR2LdSD0nu6LFU_7man_7-9QnFRkon0_pJnw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCNUZwlJGBRTY9a81zYhESMw","UCNUZwlJGBRTY9a81zYhESMw","0","0","2020-09-22T10:42:18Z","2020-09-22T10:42:18Z","UgxcQRfQLcIuYDL8S5J4AaABAg",NA,"-p0PA9Zt8zk"
"Is this a WARM-UP? it is a WORKOUT for me!","Pierced Heart","https://yt3.ggpht.com/ytc/AAUvwnieRxpV7r3umU38A2DZ-U1NY641tSOYWirdUSvZuQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCYGjaGAAFCbcOgad4L2PEkw","UCYGjaGAAFCbcOgad4L2PEkw","0","0","2020-09-22T08:34:07Z","2020-09-22T08:34:07Z","UgzrNzKu6giiSBUg-SB4AaABAg",NA,"-p0PA9Zt8zk"
